Event Id,Investigation Type,Event Date,Location,Country,Latitude,Longitude,Fatalities
20140718X92314,Accident,7/17/14,Hrabove, Ukraine,48.148,38.6479,295
20011130X02321,Accident,11/12/01,Belle Harbor, NY,40.5754846,-73.8507279,265
20140308X91420,Accident,3/8/14,Kuala Lampur, Malaysia,3.139,101.6869,239
20090601X72555,Accident,6/1/09,Atlantic Ocean,En Route to France,2.98,-30.59,228
20151102X00423,Accident,10/31/15,Sinai Peninsula, Egypt,29.5,34,224
20020528X00743,Accident,5/25/02,Magong City, Taiwan,23.5661,119.5862,206
20070723X00977,Accident,7/17/07,Sao Paulo, Brazil,-23.5505199,-46.6333094,199
20001212X20343,Accident,1/30/00,Abidjan, Cote D'ivoire,5.3599517,-4.0082563,169
20141229X31803,Accident,12/28/14,Pangkalan Bun, Indonesia,-2.676583,111.626448,162
20050825X01310,Accident,8/16/05,Machiques, Venezuela,10.0605329,-72.5500596,160
20100522X50538,Accident,5/22/10,Manglaore, India,12.9715987,77.5945627,158
20100803X33417,Accident,7/28/10,Islamabad, Pakistan,33.7293882,73.0931461,157
20080825X01307,Accident,8/20/08,Madrid, Spain,40.4167754,-3.7037902,154
20061002X01435,Accident,9/29/06,Azevedo, Brazil,-10.2439,-54.992,154
20120604X42152,Accident,6/3/12,Lagos, Nigeria,6.577223,3.321111,153
20090628X32005,Accident,6/29/09,Moroni, Comoros,-11.536389,43.271389,152
20150324X43040,Accident,3/24/15,Barcellonette, France,44.3863,6.650463,150
20050916X01483,Accident,9/5/05,Medan, Indonesia,3.5951956,98.6722227,145
20010105X00018,Accident,8/23/00,Manama, Bahrain,26.2285161,50.5860497,143
20040128X00121,Accident,12/25/03,Cotonou, Benin,6.353889,2.385,141
20020418X00536,Accident,4/15/02,Pusan, Korea,35.1795543,129.0756416,138
20001212X20792,Accident,4/19/00,Samal Island, Philippines,7.103312,125.7188463,131
20120427X01955,Accident,4/20/12,Islamabad, Pakistan,33.7293882,73.0931461,127
20060725X01008,Accident,7/8/06,Irkutsk, Russia,52.2869741,104.3050183,124
20050825X01309,Accident,8/14/05,Grammatikos, Greece,38.2031194,23.9632194,121
20020104X00034,Accident,10/8/01,Milan, Italy,45.4654219,9.1859243,118
20051025X01719,Accident,10/22/05,Lagos, Nigeria,6.808889,3.305833,117
